modelName,modelPath,sourceLanguages,targetLanguages,sourceLanguage,targetLanguage,modelURL,description,prependTargetLanguage
opus-mt-yap-sv,Helsinki-NLP/opus-mt-yap-sv,yap,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-yap-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/yap-sv/README.md",opus-mt-yap-sv NMT model.,False
opus-mt-yo-en,Helsinki-NLP/opus-mt-yo-en,yo,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-yo-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/yo-en/README.md",opus-mt-yo-en NMT model.,False
opus-mt-yo-es,Helsinki-NLP/opus-mt-yo-es,yo,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-yo-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/yo-es/README.md",opus-mt-yo-es NMT model.,False
opus-mt-yo-fi,Helsinki-NLP/opus-mt-yo-fi,yo,fi,,,"https://huggingface.co/Helsinki-NLP/opus-mt-yo-fi, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/yo-fi/README.md",opus-mt-yo-fi NMT model.,False
opus-mt-yo-fr,Helsinki-NLP/opus-mt-yo-fr,yo,fr,,,"https://huggingface.co/Helsinki-NLP/opus-mt-yo-fr, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/yo-fr/README.md",opus-mt-yo-fr NMT model.,False
opus-mt-yo-sv,Helsinki-NLP/opus-mt-yo-sv,yo,sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-yo-sv, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/yo-sv/README.md",opus-mt-yo-sv NMT model.,False
opus-mt-zai-es,Helsinki-NLP/opus-mt-zai-es,zai,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-zai-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/zai-es/README.md",opus-mt-zai-es NMT model.,False
opus-mt-zh-bg,Helsinki-NLP/opus-mt-zh-bg,cmn cmn_Hans cmn_Hant zho zho_Hans zho_Hant,bul,,,"https://huggingface.co/Helsinki-NLP/opus-mt-zh-bg, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/zho-bul/README.md","zho-bul, source group: Chinese, target group: Bulgarian NMT model.",False
opus-mt-zh-de,Helsinki-NLP/opus-mt-zh-de,cmn cmn_Bopo cmn_Hang cmn_Hani cmn_Hira cmn_Kana cmn_Latn lzh_Hani wuu_Hani yue_Hani,deu,,,"https://huggingface.co/Helsinki-NLP/opus-mt-zh-de, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/zho-deu/README.md","zho-deu, source group: Chinese, target group: German NMT model.",False
opus-mt-zh-en,Helsinki-NLP/opus-mt-zh-en,cjy_Hans cjy_Hant cmn cmn_Hans cmn_Hant gan lzh lzh_Hans nan wuu yue yue_Hans yue_Hant,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-zh-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/zho-eng/README.md",This model can be used for translation and text-to-text generation.,False
opus-mt-zh-fi,Helsinki-NLP/opus-mt-zh-fi,cmn_Bopo cmn_Hani cmn_Latn nan_Hani yue yue_Hani,fin,,,"https://huggingface.co/Helsinki-NLP/opus-mt-zh-fi, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/zho-fin/README.md","zho-fin, source group: Chinese, target group: Finnish NMT model.",False
